,date,shoupanjia,zuigaojia,zuidijia,kaipanjia,zhangdiee,zhangdiefu,chengjiaoliang,chengjiaojine,num
0,1995/4/21,635.99,649.22,635.73,646.9,4.48,-1.4275,1340573.0,801441950.0,987
1,1995/4/24,619.73,630.26,618.13,627.39,-16.26,-2.5566,977123.0,697945940.0,987
2,1995/4/25,619.84,621.53,615.35,617.01,0.11,0.0177,610985.0,429311990.0,987
3,1995/4/26,601.83,622.83,601.76,621.12,-18.01,-2.9056,941409.0,615113980.0,987
4,1995/4/27,573.31,598.62,547.21,579.64,-28.52,-4.7389,1905996.0,1236586950.0,987
5,1995/4/28,579.93,582.02,572.32,577.43,6.62,1.1547,938144.0,582196990.0,987
6,1995/5/2,579.04,580.28,574.9,576.69,-0.89,-0.1535,807343.0,281063010.0,987
7,1995/5/3,580.38,586.25,580.13,580.79,1.34,0.2314,482472.0,317231000.0,987
8,1995/5/4,571.2,580.46,567.93,579.51,-9.18,-1.5817,480506.0,287305980.0,987
9,1995/5/5,574.17,577.45,569.53,569.53,2.97,0.52,418845.0,250063980.0,987
10,1995/5/8,571.51,575.1,568.7,573.12,-2.66,-0.4633,300239.0,191499000.0,987
11,1995/5/9,578.5,579.56,572.1,572.1,6.99,1.2231,363648.0,243981990.0,987
12,1995/5/10,565.14,580.75,564.86,577.76,-13.36,-2.3094,548077.0,331913980.0,987
13,1995/5/11,568.06,572.34,566.42,568.75,2.92,0.5167,349024.0,192221000.0,987
14,1995/5/12,584.84,593.5,567.89,569.35,16.78,2.9539,106445.0,775367970.0,987
15,1995/5/15,582.04,583.4,578.6,583.19,-2.8,-0.4788,410695.0,304102010.0,987
16,1995/5/16,578.85,584.41,578.18,583.17,-3.19,-0.5481,332583.0,223284000.0,987
17,1995/5/17,582.89,582.96,577.14,578.84,4.04,0.6979,242311.0,151195000.0,987
18,1995/5/18,763.51,770.82,682.01,741.81,180.62,30.987,10076101.0,8360267500.0,987
19,1995/5/19,855.81,855.81,761.38,768.82,92.3,12.0889,10855267.0,9800151880.0,987
20,1995/5/22,897.42,926.41,870.79,919.75,41.61,4.8621,12070917.0,11430287500.0,987
21,1995/5/23,750.3,833.69,749.83,791.74,-147.12,-16.3937,8409161.0,7530103750.0,987
22,1995/5/24,741.93,770.14,720.97,761.16,-8.37,-1.1156,4153473.0,3381596880.0,987
23,1995/5/25,696.85,748.23,696.44,747.06,-45.08,-6.0760000000000005,3151448.0,2525230000.0,987
